 Total battles: 2063661
 Avg. weight/team: 0.059
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 30.13606% | 631756 | 15.307% | 528309 | 17.128% | 
 | 2    | Garchomp           | 22.33993% | 584433 | 14.160% | 469865 | 15.233% | 
 | 3    | Heatran            | 19.41386% | 553840 | 13.419% | 450003 | 14.589% | 
 | 4    | Keldeo             | 18.28716% | 381505 |  9.243% | 287594 |  9.324% | 
 | 5    | Excadrill          | 18.25238% | 446855 | 10.827% | 324863 | 10.532% | 
 | 6    | Azumarill          | 15.75719% | 514300 | 12.461% | 392641 | 12.729% | 
 | 7    | Talonflame         | 15.75214% | 528869 | 12.814% | 386050 | 12.516% | 
 | 8    | Latios             | 15.37166% | 335778 |  8.135% | 236696 |  7.674% | 
 | 9    | Ferrothorn         | 15.14109% | 571796 | 13.854% | 477209 | 15.471% | 
 | 10   | Clefable           | 15.12498% | 415569 | 10.069% | 308448 | 10.000% | 
 | 11   | Rotom-Wash         | 14.25196% | 482787 | 11.697% | 395334 | 12.817% | 
 | 12   | Tornadus-Therian   | 12.24588% | 205197 |  4.972% | 160566 |  5.205% | 
 | 13   | Bisharp            | 12.03798% | 361573 |  8.760% | 254900 |  8.264% | 
 | 14   | Tyranitar          | 11.87287% | 312478 |  7.571% | 245267 |  7.951% | 
 | 15   | Starmie            | 11.62924% | 346694 |  8.400% | 252426 |  8.184% | 
 | 16   | Skarmory           | 10.76574% | 314770 |  7.626% | 259614 |  8.417% | 
 | 17   | Latias             |  9.08923% | 225419 |  5.462% | 158587 |  5.141% | 
 | 18   | Thundurus          |  9.06694% | 214952 |  5.208% | 165123 |  5.353% | 
 | 19   | Manaphy            |  8.79632% | 177501 |  4.301% | 134985 |  4.376% | 
 | 20   | Jirachi            |  8.59553% | 219894 |  5.328% | 167508 |  5.431% | 
 | 21   | Hoopa-Unbound      |  8.30783% | 206495 |  5.003% | 146423 |  4.747% | 
 | 22   | Breloom            |  8.28054% | 308147 |  7.466% | 223614 |  7.249% | 
 | 23   | Scizor-Mega        |  8.01226% | 225067 |  5.453% | 169281 |  5.488% | 
 | 24   | Lopunny-Mega       |  7.77933% | 232599 |  5.636% | 182965 |  5.932% | 
 | 25   | Kyurem-Black       |  7.48711% | 187041 |  4.532% | 135521 |  4.394% | 
 | 26   | Weavile            |  7.14471% | 334218 |  8.098% | 242121 |  7.849% | 
 | 27   | Dragonite          |  7.01799% | 374378 |  9.071% | 258660 |  8.386% | 
 | 28   | Hippowdon          |  6.99546% | 164384 |  3.983% | 137023 |  4.442% | 
 | 29   | Gengar             |  6.96782% | 505479 | 12.247% | 352204 | 11.418% | 
 | 30   | Magnezone          |  6.90530% | 220315 |  5.338% | 168522 |  5.463% | 
 | 31   | Charizard-Mega-X   |  6.47131% | 302701 |  7.334% | 223647 |  7.251% | 
 | 32   | Scizor             |  6.41034% | 282716 |  6.850% | 212013 |  6.873% | 
 | 33   | Manectric-Mega     |  6.38617% | 194572 |  4.714% | 155018 |  5.026% | 
 | 34   | Diancie-Mega       |  6.14166% | 143626 |  3.480% | 113904 |  3.693% | 
 | 35   | Slowbro            |  5.96496% | 183562 |  4.447% | 139747 |  4.531% | 
 | 36   | Sableye-Mega       |  5.71345% | 179075 |  4.339% | 151436 |  4.909% | 
 | 37   | Pinsir-Mega        |  5.70951% | 133297 |  3.230% | 94376  |  3.060% | 
 | 38   | Raikou             |  5.68536% | 177997 |  4.313% | 135160 |  4.382% | 
 | 39   | Chansey            |  5.55166% | 234642 |  5.685% | 166952 |  5.413% | 
 | 40   | Metagross-Mega     |  5.39586% | 202857 |  4.915% | 149597 |  4.850% | 
 | 41   | Serperior          |  5.05164% | 334531 |  8.105% | 236885 |  7.680% | 
 | 42   | Venusaur-Mega      |  4.92783% | 219174 |  5.310% | 165124 |  5.353% | 
 | 43   | Gliscor            |  4.83816% | 368636 |  8.932% | 273770 |  8.876% | 
 | 44   | Charizard-Mega-Y   |  4.76299% | 277074 |  6.713% | 213247 |  6.913% | 
 | 45   | Gardevoir-Mega     |  4.41597% | 181410 |  4.395% | 127826 |  4.144% | 
 | 46   | Klefki             |  4.16694% | 158295 |  3.835% | 130664 |  4.236% | 
 | 47   | Mew                |  4.02902% | 173745 |  4.210% | 137885 |  4.470% | 
 | 48   | Medicham-Mega      |  3.83312% | 116384 |  2.820% | 91981  |  2.982% | 
 | 49   | Altaria-Mega       |  3.61214% | 161674 |  3.917% | 114500 |  3.712% | 
 | 50   | Celebi             |  3.57408% | 118021 |  2.860% | 90089  |  2.921% | 
 | 51   | Sylveon            |  3.28800% | 272897 |  6.612% | 191836 |  6.219% | 
 | 52   | Conkeldurr         |  3.26694% | 251330 |  6.089% | 186314 |  6.040% | 
 | 53   | Gyarados-Mega      |  3.21612% | 119743 |  2.901% | 90263  |  2.926% | 
 | 54   | Amoonguss          |  3.13349% | 67809  |  1.643% | 50719  |  1.644% | 
 | 55   | Alakazam-Mega      |  3.13123% | 147408 |  3.572% | 101229 |  3.282% | 
 | 56   | Togekiss           |  3.02110% | 185946 |  4.505% | 133310 |  4.322% | 
 | 57   | Azelf              |  2.93616% | 49396  |  1.197% | 45580  |  1.478% | 
 | 58   | Victini            |  2.55460% | 114452 |  2.773% | 86880  |  2.817% | 
 | 59   | Zapdos             |  2.53751% | 81729  |  1.980% | 63496  |  2.059% | 
 | 60   | Alakazam           |  2.47789% | 125427 |  3.039% | 85132  |  2.760% | 
 | 61   | Volcarona          |  2.40113% | 184019 |  4.459% | 130769 |  4.239% | 
 | 62   | Heracross-Mega     |  2.36027% | 79605  |  1.929% | 58405  |  1.893% | 
 | 63   | Latias-Mega        |  2.29261% | 48221  |  1.168% | 35366  |  1.147% | 
 | 64   | Politoed           |  2.17762% | 92579  |  2.243% | 83612  |  2.711% | 
 | 65   | Slowbro-Mega       |  2.04705% | 65873  |  1.596% | 49454  |  1.603% | 
 | 66   | Quagsire           |  2.02618% | 56230  |  1.362% | 42027  |  1.362% | 
 | 67   | Terrakion          |  2.02118% | 55634  |  1.348% | 39875  |  1.293% | 
 | 68   | Tangrowth          |  1.90801% | 38348  |  0.929% | 29570  |  0.959% | 
 | 69   | Mamoswine          |  1.89697% | 90131  |  2.184% | 73075  |  2.369% | 
 | 70   | Mandibuzz          |  1.88050% | 62608  |  1.517% | 46833  |  1.518% | 
 | 71   | Suicune            |  1.87926% | 55445  |  1.343% | 41539  |  1.347% | 
 | 72   | Tentacruel         |  1.78674% | 94257  |  2.284% | 71380  |  2.314% | 
 | 73   | Dugtrio            |  1.72946% | 36852  |  0.893% | 26976  |  0.875% | 
 | 74   | Diggersby          |  1.61764% | 55134  |  1.336% | 40444  |  1.311% | 
 | 75   | Kingdra            |  1.54731% | 71636  |  1.736% | 50747  |  1.645% | 
 | 76   | Swampert-Mega      |  1.52228% | 83022  |  2.012% | 63338  |  2.053% | 
 | 77   | Seismitoad         |  1.51506% | 27113  |  0.657% | 22257  |  0.722% | 
 | 78   | Gyarados           |  1.38820% | 100035 |  2.424% | 75447  |  2.446% | 
 | 79   | Infernape          |  1.33564% | 120220 |  2.913% | 91044  |  2.952% | 
 | 80   | Hydreigon          |  1.21611% | 79841  |  1.934% | 57338  |  1.859% | 
 | 81   | Hawlucha           |  1.19595% | 82419  |  1.997% | 57877  |  1.876% | 
 | 82   | Chesnaught         |  1.17896% | 50631  |  1.227% | 37079  |  1.202% | 
 | 83   | Gallade-Mega       |  1.12545% | 93371  |  2.262% | 65489  |  2.123% | 
 | 84   | Umbreon            |  1.10667% | 115864 |  2.807% | 81942  |  2.657% | 
 | 85   | Lucario            |  1.08089% | 93690  |  2.270% | 64762  |  2.100% | 
 | 86   | Empoleon           |  1.07234% | 63875  |  1.548% | 50165  |  1.626% | 
 | 87   | Sceptile-Mega      |  1.00788% | 76237  |  1.847% | 55149  |  1.788% | 
 | 88   | Crawdaunt          |  0.99269% | 42779  |  1.036% | 31335  |  1.016% | 
 | 89   | Thundurus-Therian  |  0.98747% | 55469  |  1.344% | 41098  |  1.332% | 
 | 90   | Gastrodon          |  0.97838% | 40672  |  0.985% | 31314  |  1.015% | 
 | 91   | Donphan            |  0.97729% | 59973  |  1.453% | 49150  |  1.593% | 
 | 92   | Shedinja           |  0.97168% | 24291  |  0.589% | 16717  |  0.542% | 
 | 93   | Alomomola          |  0.96777% | 23548  |  0.571% | 17888  |  0.580% | 
 | 94   | Entei              |  0.96725% | 43324  |  1.050% | 33526  |  1.087% | 
 | 95   | Scolipede          |  0.94893% | 67146  |  1.627% | 53216  |  1.725% | 
 | 96   | Tyranitar-Mega     |  0.94204% | 72848  |  1.765% | 52363  |  1.698% | 
 | 97   | Metagross          |  0.93510% | 60657  |  1.470% | 44730  |  1.450% | 
 | 98   | Staraptor          |  0.90625% | 85441  |  2.070% | 61661  |  1.999% | 
 | 99   | Slowking           |  0.89522% | 24664  |  0.598% | 18648  |  0.605% | 
 | 100  | Garchomp-Mega      |  0.89510% | 84493  |  2.047% | 59315  |  1.923% | 
 | 101  | Pidgeot-Mega       |  0.89411% | 60197  |  1.459% | 45047  |  1.460% | 
 | 102  | Blissey            |  0.87213% | 73284  |  1.776% | 51252  |  1.662% | 
 | 103  | Reuniclus          |  0.87137% | 35038  |  0.849% | 24942  |  0.809% | 
 | 104  | Aerodactyl-Mega    |  0.83262% | 39294  |  0.952% | 28498  |  0.924% | 
 | 105  | Dragalge           |  0.79838% | 30452  |  0.738% | 22265  |  0.722% | 
 | 106  | Beedrill-Mega      |  0.79091% | 69958  |  1.695% | 51314  |  1.664% | 
 | 107  | Feraligatr         |  0.78227% | 59174  |  1.434% | 42373  |  1.374% | 
 | 108  | Forretress         |  0.76797% | 75769  |  1.836% | 64906  |  2.104% | 
 | 109  | Espeon             |  0.75980% | 135967 |  3.294% | 100783 |  3.267% | 
 | 110  | Nidoking           |  0.72836% | 71516  |  1.733% | 53626  |  1.739% | 
 | 111  | Arcanine           |  0.68565% | 107556 |  2.606% | 81250  |  2.634% | 
 | 112  | Kabutops           |  0.67160% | 26663  |  0.646% | 18085  |  0.586% | 
 | 113  | Sableye            |  0.65485% | 68443  |  1.658% | 53555  |  1.736% | 
 | 114  | Ditto              |  0.65055% | 42664  |  1.034% | 30688  |  0.995% | 
 | 115  | Darmanitan         |  0.64019% | 59494  |  1.441% | 44519  |  1.443% | 
